provider,power,fuel,N
109.0,10.0,2.0,0.0
109.0,10.0,3.0,0.0
109.0,10.0,4.0,0.0
109.0,10.0,5.0,0.0
109.0,10.0,6.0,28.28806513428353
109.0,11.0,1.0,0.0
109.0,11.0,2.0,0.0
109.0,11.0,3.0,0.0
109.0,11.0,4.0,0.0
109.0,11.0,5.0,0.0
109.0,11.0,6.0,30.031633382440944
109.0,12.0,1.0,0.0
109.0,12.0,2.0,0.0
109.0,12.0,3.0,0.0
109.0,12.0,4.0,0.0
109.0,12.0,5.0,0.0
109.0,12.0,6.0,13.93249612282073
109.0,13.0,1.0,0.0
109.0,13.0,2.0,0.0
109.0,13.0,3.0,0.0
109.0,13.0,4.0,0.0
109.0,13.0,5.0,0.0
109.0,13.0,6.0,15.244961141862932
109.0,14.0,1.0,0.0
109.0,14.0,2.0,0.0
109.0,14.0,3.0,0.0
109.0,14.0,4.0,0.0
109.0,14.0,5.0,0.0
109.0,14.0,6.0,0.0
110.0,1.0,1.0,0.0
110.0,1.0,2.0,0.0
110.0,1.0,3.0,0.0
110.0,1.0,4.0,0.0
110.0,1.0,5.0,0.0
110.0,1.0,6.0,0.0
110.0,2.0,1.0,0.0
110.0,2.0,2.0,0.0
110.0,2.0,3.0,0.0
